GeneName	ProteinName	UniprotID	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Ndufaf7 	 NADH dehydrogenase 	 Q9CWG8 	18.75	95909.2	6	3	11.01	436
 Papd5 	 non-canonical poly(A) RNA polymerase PAPD5 isoform a 	 Q68ED3 	7.34	95914.4	9	5	9.71	680
 Lsg1 	 large subunit GTPase 1 homolog 	 Q3UM18 	7.94	96043.9	4	3	6.06	644
 Pla2g16 	 HRAS-like suppressor 3 	 Q8R3U1 	15.84	96152.2	6	3	19.75	162
 Comt 	 catechol O-methyltransferase 	 O88587 	21.5	96200.3	8	5	26.41	265
 Rpl7l1 	 60S ribosomal protein L7-like 1 	 Q9D8M4 	22.31	96204.1	5	3	16.26	246
 Epb41l3 	 PREDICTED: band 4.1-like protein 3 isoform X18 	 nan 	9.61	96285.1	7	6	8.01	1111
 Clybl 	" citrate lyase subunit beta-like protein, mitochondrial precursor "	 Q8R4N0 	11.03	96311.6	5	5	18.05	338
 Gins2 	 DNA replication complex GINS protein PSF2 	 Q9D600 	21.04	96345.2	4	3	22.16	185
 Usmg5 	 up-regulated during skeletal muscle growth protein 5 	 Q78IK2 	17.61	96358.8	5	3	44.83	58
 Ppp3ca 	 serine/threonine-protein phosphatase 2B catalytic subunit alpha 	 P63328 	19.91	96411.3	6	5	10.94	521
 Rps6ka3 	 ribosomal protein S6 kinase alpha-3 	 P18654 	25.94	96587.7	7	5	8.92	740
 Zfp422 	 zinc finger protein 22 	 Q9ERU3 	7.34	96744.1	8	4	17.72	237
 Ncoa3 	 PREDICTED: nuclear receptor coactivator 3 isoform X1 	 A2A468 	2.03	96799.5	6	4	4.07	1402
 Rbbp5 	 retinoblastoma-binding protein 5 	 Q8BX09 	24.23	96878.7	8	4	11.15	538
 Srcap 	 helicase SRCAP 	 A0A087WQ44 	9.21	96880.8	9	6	2.48	3271
 Zwint 	 ZW10 interactor 	 Q9CQU5 	34.12	96957.5	9	7	38.49	252
 Wdr43 	 WD repeat-containing protein 43 	 Q6ZQL4 	18.43	97002.5	4	3	5.17	677
 Arhgef18 	 rho guanine nucleotide exchange factor 18 	 Q6P9R4 	15.09	97079.3	6	5	8.13	1021
 Tbc1d13 	 TBC1 domain family member 13 	 Q8R3D1 	17.06	97093.9	7	3	10.75	400
 Cd48 	 CD48 antigen precursor 	 P18181 	16.16	97189.6	5	3	17.92	240
 Fes 	 tyrosine-protein kinase Fes/Fps 	 P16879 	28.06	97195.3	8	4	6.57	822
 Mrpl43 	" 39S ribosomal protein L43, mitochondrial "	 Q5RL20 	16.8	97221.7	5	3	26.41	159
 Phf8 	 histone lysine demethylase PHF8 isoform b 	 Q80TJ7 	15.02	97228	6	5	6.94	1023
 Zfx 	 zinc finger X-chromosomal protein 	 P17012 	7.84	97319.7	6	4	4.51	799
 Rsrc1 	 serine/Arginine-related protein 53 	 Q9DBU6 	4.87	97651.4	5	3	13.77	334
 Rtf1 	 PREDICTED: RNA polymerase-associated protein RTF1 homolog isoform 	 nan 	26.65	97667.9	8	7	14.12	524
 Zzef1 	 zinc finger ZZ-type and EF-hand domain-containing protein 1 	 Q5SSH7 	3.55	97705.6	6	6	2.53	2891
 Nsl1 	 kinetochore-associated protein NSL1 homolog 	 E9QME3 	28.2	97777.1	7	3	15.66	281
 Nceh1 	 neutral cholesterol ester hydrolase 1 	 Q8BLF1 	14.21	97783.8	5	3	5.88	408
 Pcif1 	 phosphorylated CTD-interacting factor 1 	 P59114 	10.73	98122.1	6	5	7.37	706
 Exoc4 	 exocyst complex component 4 	 O35382 	13.16	98148.9	5	5	7.79	975
 Vps37c 	 vacuolar protein sorting-associated protein 37C 	 Q8R105 	18.92	98163	3	3	16.19	352
 Trim14 	 tripartite motif-containing protein 14 	 Q8BVW3 	24.36	98163.8	6	5	15	440
 Scly 	 PREDICTED: selenocysteine lyase isoform X1 	 nan 	26.03	98275.7	9	5	14.32	454
 Ncf2 	 neutrophil cytosol factor 2 	 O70145 	31.29	98291.4	6	4	12.95	525
 Heatr5b 	 HEAT repeat-containing protein 5B 	 Q8C547 	20.87	98297.3	5	3	2.95	2070
 Knstrn 	 small kinetochore-associated protein 	 Q9D9Z1 	3.71	98324.7	4	3	10.58	312
 Efl1 	 elongation factor-like GTPase 1 	 Q8C0D5 	25.1	98455	8	5	6.57	1127
 Tmem214 	 transmembrane protein 214 	 Q8BM55 	21.4	98509.6	8	5	8.73	687
 Ctage5 	 cTAGE family member 5 isoform 2 	 E9PY90 	11.43	98512.4	5	4	7.25	772
 Fam192a 	 protein FAM192A 	 Q91WE2 	17.31	98627.7	4	3	12.6	254
 Ikbkap 	 elongator complex protein 1 	 Q7TT37 	24.77	98641.8	8	5	4.35	1333
 Gtf2f1 	 general transcription factor IIF subunit 1 	 Q3THK3 	17.92	98707.5	9	7	16.14	508
 Polr2e 	" DNA-directed RNA polymerases I, II, and III subunit RPABC1 "	 Q80UW8 	31.08	98950.7	8	6	31.43	210
 Cops5 	 COP9 signalosome complex subunit 5 isoform 1 	 O35864 	20.55	99099	6	5	15.27	334
 Brd8 	 bromodomain-containing protein 8 isoform 1 	 Q8R3B7 	19.59	99309.7	6	4	5.68	951
 Dhx30 	 putative ATP-dependent RNA helicase DHX30 isoform 3 	 Q99PU8 	23.63	99321.4	9	6	6.13	1223
 Nfatc2ip 	 NFATC2-interacting protein 	 O09130 	26.78	99367.8	7	3	12.62	412
 Gpatch1 	 G patch domain-containing protein 1 	 Q9DBM1 	10.46	99378.7	9	7	10.65	930
 Pcx 	" pyruvate carboxylase, mitochondrial isoform 1 "	 E9QPD7 	9.77	99381	7	4	4.33	1179
 Ctps 	 CTP synthase 1 	 P70698 	19.72	99390.5	6	5	8.29	591
 Dcaf8 	 DDB1- and CUL4-associated factor 8 	 Q8N7N5 	18.62	99471.9	6	4	10.83	591
 Picalm 	 phosphatidylinositol-binding clathrin assembly protein isoform 1 	 Q7M6Y3 	30.74	99664.4	10	8	21.36	660
 Ubqln2 	 ubiquilin-2 	 Q9QZM0 	30.48	99845.7	6	4	7.99	638
 Mov10 	 putative helicase MOV-10 isoform a 	 P23249 	23.75	99904.2	4	4	4.36	1077
 Plcg1 	" 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 "	 Q62077 	15.21	99960.1	9	7	7.76	1302
 Xpot 	 exportin-T 	 A0A1W2P7Q6 	16.24	100050.7	3	3	4.16	962
 Paxbp1 	 PAX3- and PAX7-binding protein 1 	 P58501 	4.25	100073.3	7	4	4.68	919
 Hdac1 	 histone deacetylase 1 	 O09106 	24.72	100079.4	7	6	15.98	482
 Prorsd1 	 prolyl-tRNA synthetase associated domain-containing protein 1 	 Q9D820 	20.47	100321.6	8	3	26.63	169
 Man2b2 	 epididymis-specific alpha-mannosidase precursor 	 O54782 	18.04	100474.9	6	3	5.01	1018
 Itgb1bp1 	 integrin beta-1-binding protein 1 	 O35671 	6.04	100505.7	4	2	14	200
 Rcl1 	 RNA 3'-terminal phosphate cyclase-like protein 	 Q9JJT0 	29.08	100526.5	10	6	19.3	373
 Ddx56 	 probable ATP-dependent RNA helicase DDX56 	 Q9D0R4 	14.13	100569	11	3	6.59	546
 Gmeb1 	 glucocorticoid modulatory element-binding protein 1 	 Q9JL60 	3.9	100775.1	4	2	3.91	562
 Llph 	 protein LLP homolog 	 Q9D945 	28.24	100955.9	6	3	23.08	130
 Edc3 	 enhancer of mRNA-decapping protein 3 	 Q8K2D3 	19.92	101065.4	9	5	13.19	508
 Cdk5rap3 	 CDK5 regulatory subunit-associated protein 3 isoform 1 	 Q99LM2 	13.47	101071.8	3	3	12.52	503
 Dmap1 	 DNA methyltransferase 1-associated protein 1 	 Q9JI44 	30	101188.4	5	4	14.96	468
 1810009A15Rik 	 uncharacterized protein C11orf98 homolog 	 Q9D937 	21.09	101270.2	5	4	22.76	123
 Gcc2 	 GRIP and coiled-coil domain-containing protein 2 	 B2RSU7 	24.34	101334.4	8	6	5.18	1680
 Lrrc40 	 leucine-rich repeat-containing protein 40 isoform a 	 Q9CRC8 	34.61	101344.9	7	6	14.78	602
 Orc4 	 origin recognition complex subunit 4 isoform 1 	 O88708 	4.86	101443.9	1	1	3.23	433
 Maoa 	 amine oxidase 	 Q64133 	18.31	101473.7	7	4	9.13	526
 Vrk2 	 serine/threonine-protein kinase VRK2 isoform 1 	 Q8BN21 	18.7	101529.8	6	4	11.13	503
 Ankhd1 	 ankyrin repeat and KH domain-containing protein 1 	 E9PUR0 	31.25	101564.6	6	5	2.43	2548
 Pfkm 	" PREDICTED: ATP-dependent 6-phosphofructokinase, muscle type isoform "	 P47857 	27.01	101616.7	9	6	8.94	850
 Brcc3 	 lys-63-specific deubiquitinase BRCC36 	 P46737 	11.02	101683.3	6	3	11.68	291
 Brd7 	 bromodomain-containing protein 7 	 O88665 	24.63	101702.5	7	6	12.29	651
 Tle3 	 transducin-like enhancer protein 3 isoform 1 	 Q08122 	8.83	101719.5	5	4	6.91	782
 Vbp1 	 prefoldin subunit 3 	 P61759 	19.04	101763.9	7	4	19.39	196
 Rbm28 	 RNA-binding protein 28 	 Q8CGC6 	28.26	101786.7	8	6	9.6	750
 Commd3 	 COMM domain-containing protein 3 	 Q63829 	23.72	101881.8	6	4	28.72	195
 Rap2c 	 ras-related protein Rap-2c precursor 	 Q8BU31 	14.34	101911.7	6	2	14.75	183
 Nupl1 	 nucleoporin p58/p45 	 Q8R332 	34.7	101970.9	5	4	10.22	587
 Pfkp 	" ATP-dependent 6-phosphofructokinase, platelet type isoform 2 "	 Q9WUA3 	30.9	101999.9	7	5	8.67	784
 Elp2 	 elongator complex protein 2 	 Q91WG4 	17.77	102044.9	11	5	11.79	831
 Nle1 	 notchless protein homolog 1 	 Q8VEJ4 	27.47	102052.1	9	6	21.03	485
 Dffa 	 DNA fragmentation factor subunit alpha isoform a 	 O54786 	18.88	102102.8	6	5	16.31	331
 Tacc1 	 transforming acidic coiled-coil-containing protein 1 long isoform 	 Q6Y685 	22.89	102128.6	7	5	6.83	776
 Chd8 	 chromodomain-helicase-DNA-binding protein 8 	 Q09XV5 	17.3	102355.6	9	7	3.87	2582
 Hsd17b11 	 estradiol 17-beta-dehydrogenase 11 precursor 	 Q9EQ06 	21.46	102661.7	5	3	13.76	298
 Zcchc6 	 PREDICTED: terminal uridylyltransferase 7 isoform X3 	 Q5BLK4 	18.22	102909.2	7	7	5.77	1491
 Rcn1 	 reticulocalbin-1 precursor 	 Q05186 	22.69	102928.4	6	5	20.62	325
 Ppp1cb 	 serine/threonine-protein phosphatase PP1-beta catalytic subunit 	 P62141 	13.65	102945.6	4	3	11.31	327
 Tmx4 	 thioredoxin-related transmembrane protein 4 precursor 	 Q8C0L0 	21.55	102962.8	10	4	18.21	335
 Ptges2 	 prostaglandin E synthase 2 	 Q8BWM0 	24.9	103001.6	7	4	19.79	384
 Aatf 	 protein AATF 	 Q9JKX4 	28.56	103060.6	8	5	13.69	526
 Gstz1 	 maleylacetoacetate isomerase isoform 1 	 Q9WVL0 	36.02	103095.4	5	4	26.85	216
 Dhx36 	 ATP-dependent RNA helicase DHX36 	 Q8VHK9 	19.38	103119	8	5	6.29	1001
 Ddx20 	 probable ATP-dependent RNA helicase DDX20 	 Q9JJY4 	25.95	103138	8	8	12.36	825
 Prodh 	" proline dehydrogenase 1, mitochondrial precursor "	 Q9WU79 	23.94	103140.7	7	5	10.52	599
 Pgp 	 glycerol-3-phosphate phosphatase 	 Q8CHP8 	31.2	103152.8	7	4	17.13	321
 Ndufb11 	 NADH dehydrogenase 	 O09111 	30.86	103259.1	6	4	33.77	151
 Ufd1l 	 ubiquitin fusion degradation protein 1 homolog 	 P70362 	17.22	103362.1	8	3	12.05	307
 Upf2 	 regulator of nonsense transcripts 2 	 A2AT37 	8.51	103392.2	9	7	6.15	1269
 H1fx 	" H1 histone family, member X "	 Q80ZM5 	20.75	103497.8	9	4	21.81	188
 Alkbh5 	 RNA demethylase ALKBH5 	 Q3TSG4 	22.88	103506.7	7	5	16.96	395
 Mrpl41 	" 39S ribosomal protein L41, mitochondrial precursor "	 Q9CQN7 	27.07	103630.5	5	4	36.3	135
 Dhx8 	 ATP-dependent RNA helicase DHX8 	 A2A4P0 	15.17	103630.9	9	5	5.23	1244
 Arhgap18 	 rho GTPase-activating protein 18 	 Q8K0Q5 	22.61	103650.1	5	4	7.54	663
 Dcaf13 	 DDB1- and CUL4-associated factor 13 	 Q6PAC3 	12.58	103660.6	5	4	11.91	445
 Btaf1 	 TATA-binding protein-associated factor 172 	 E9QAE3 	17.2	103709.4	8	6	3.79	1848
 Focad 	 focadhesin 	 A2AKG8 	10.43	103815.3	6	5	3.73	1798
 Ppp1ca 	 serine/threonine-protein phosphatase PP1-alpha catalytic subunit 	 P62137 	9.55	103818.9	5	2	5.76	330
 Mrps2 	" 28S ribosomal protein S2, mitochondrial isoform 1 "	 Q924T2 	16.39	103938.1	7	3	15.81	291
 Ints6 	 PREDICTED: integrator complex subunit 6 isoform X3 	 Q6PCM2 	22.73	104024.2	6	4	7.21	874
 Hccs 	 cytochrome c-type heme lyase 	 P53702 	15.55	104064.2	4	3	15.44	272
 Bag1 	 BAG family molecular chaperone regulator 1 isoform 1L 	 Q60739 	29.19	104147	6	4	12.96	355
 Rptor 	 regulatory-associated protein of mTOR isoform 1 	 A2ACM0 	15.73	104434.2	8	4	5.32	1335
 Pde12 	" 2',5'-phosphodiesterase 12 "	 Q3TIU4 	35.38	104578.5	10	6	14.8	608
 Arih1 	 E3 ubiquitin-protein ligase ARIH1 	 Q9Z1K5 	18.63	104607	7	5	9.91	555
 Nup85 	 nuclear pore complex protein Nup85 	 Q8R480 	4.65	104668.9	6	4	7.47	656
 Spcs3 	 signal peptidase complex subunit 3 	 Q6ZWQ7 	13.71	104758.7	4	3	17.78	180
 Agps 	" alkyldihydroxyacetonephosphate synthase, peroxisomal "	 Q8C0I1 	28.94	104912.3	8	5	11.18	671
 Nfyc 	 nuclear transcription factor Y subunit gamma isoform 1 	 P70353 	20.77	105067.6	4	4	12.24	335
 Vrk3 	 inactive serine/threonine-protein kinase VRK3 	 Q8K3G5 	28.8	105106.6	10	8	20.75	453
 Kifc1 	 kinesin-like protein KIFC1 	 Q9QWT9 	20.9	105172.9	5	4	7.72	674
 Nfs1 	" cysteine desulfurase, mitochondrial "	 Q9Z1J3 	30.32	105261.2	6	6	16.34	459
 Rreb1 	 ras-responsive element-binding protein 1 isoform 2 	 Q3UH06 	23.82	105336.9	7	6	4.16	1754
 Add1 	 alpha-adducin isoform 1 	 Q9QYC0 	29.13	105349.4	9	4	9.93	735
 Ints3 	 integrator complex subunit 3 	 Q7TPD0 	34.22	105367.5	9	5	8.36	1041
 Chek1 	 serine/threonine-protein kinase Chk1 	 O35280 	19.44	105415.2	5	3	8.61	476
 Mrps5 	" 28S ribosomal protein S5, mitochondrial "	 Q99N87 	12.68	105420.1	5	4	11.81	432
 Tbrg4 	 protein TBRG4 	 Q91YM4 	22.89	105579.7	4	2	6.03	630
 Tmed7 	 transmembrane emp24 domain-containing protein 7 precursor 	 D3YZZ5 	18.27	105653.4	6	5	24.11	224
 Kif22 	 kinesin-like protein KIF22 	 Q3V300 	19.12	105657.3	7	5	10.15	660
 Thoc6 	 THO complex subunit 6 homolog 	 Q5U4D9 	27.83	105743.6	10	5	21.7	341
 Vps26a 	 vacuolar protein sorting-associated protein 26A isoform b 	 P40336 	32.85	105770.6	4	4	15.32	359
 0610011F06Rik 	 UPF0585 protein C16orf13 homolog 	 Q9DCS2 	16.65	105801.4	5	5	38.73	204
 Eif3m 	 eukaryotic translation initiation factor 3 subunit M 	 Q99JX4 	20.07	105902.9	4	3	12.83	374
 Pdxdc1 	 pyridoxal-dependent decarboxylase domain-containing protein 1 	 Q99K01 	9.65	105961.5	4	4	7.98	789
 Cstb 	 cystatin-B 	 Q62426 	11.07	105995.4	4	2	20.41	98
 Bud31 	 protein BUD31 homolog isoform 1 	 Q6PGH1 	25.24	106100.9	7	5	34.03	144
 Lsm6 	 U6 snRNA-associated Sm-like protein LSm6 	 P62313 	9.1	106169.6	6	3	33.75	80
 Mrps26 	" 28S ribosomal protein S26, mitochondrial precursor "	 Q80ZS3 	24.47	106307.8	7	6	32	200
 Pdgfrb 	 platelet-derived growth factor receptor beta isoform 2 precursor 	 P05622 	7.64	106400.6	6	4	5.46	1098
 Cnn3 	 calponin-3 	 Q9DAW9 	21.85	106407	6	3	13.33	330
 Tollip 	 toll-interacting protein 	 Q9QZ06 	20.98	106435.5	7	4	17.15	274
 Ggh 	 gamma-glutamyl hydrolase precursor 	 Q9Z0L8 	28.46	106554.1	5	4	17.35	317
 Dnajc6 	 putative tyrosine-protein phosphatase auxilin isoform b 	 Q80TZ3 	6.43	106743.1	7	3	4.05	938
 Exosc7 	 exosome complex exonuclease RRP42 	 Q9D0M0 	30.29	106769.1	6	4	24.05	291
 Zmym4 	 zinc finger MYM-type protein 4 	 A2A791 	21.13	106797.2	8	6	5.23	1549
 Gse1 	 PREDICTED: genetic suppressor element 1 isoform X1 	 nan 	17.24	106831.3	6	5	5.45	1579
 Usp47 	 ubiquitin carboxyl-terminal hydrolase 47 isoform 1 	 Q8BY87 	24.84	106929.9	7	5	4.8	1376
 Rps6ka5 	 ribosomal protein S6 kinase alpha-5 	 Q8C050 	24.75	107057.9	10	6	8.34	863
 Mob4 	 MOB-like protein phocein isoform 1 	 Q6PEB6 	4.66	107088.9	4	2	9.78	225
 Polr2i 	 DNA-directed RNA polymerase II subunit RPB9 	 P60898 	16.51	107233.1	9	4	34.4	125
 Coq6 	 PREDICTED: ubiquinone biosynthesis monooxygenase COQ6 	 nan 	21.6	107327.8	5	5	14.5	393
 Bptf 	 PREDICTED: nucleosome-remodeling factor subunit BPTF isoform X8 	 nan 	12.6	107371.3	8	8	4.23	3095
 Osbp 	 oxysterol-binding protein 1 	 Q3B7Z2 	35.36	107388.1	6	5	9.69	805
 Impa2 	 inositol monophosphatase 2 	 Q91UZ5 	11.03	107493.2	6	2	7.59	290
 1110004F10Rik 	 small acidic protein 	 Q9R0P4 	32.19	107506.3	6	3	22.65	181
 Ero1l 	 ERO1-like protein alpha precursor 	 Q8R180 	37.11	107562.5	5	5	15.09	464
 Pex19 	 peroxisomal biogenesis factor 19 isoform a 	 Q8VCI5 	14.48	107585.5	7	5	25.75	299
 Frrs1 	 ferric-chelate reductase 1 precursor 	 Q8K385 	10.06	107630.1	5	4	6.59	592
 Magohb 	 protein mago nashi homolog 2 isoform 1 	 Q9CQL1 	20.91	107647.3	6	3	27.7	148
 Thoc3 	 THO complex subunit 3 	 Q8VE80 	33.08	107705.1	10	6	26.21	351
 Ict1 	" PREDICTED: peptidyl-tRNA hydrolase ICT1, mitochondrial isoform X1 "	 nan 	21.42	107748.4	4	3	17.96	206
 Timm9 	 mitochondrial import inner membrane translocase subunit Tim9 	 Q9WV98 	9.13	108026.9	5	2	25.84	89
 Trip13 	 pachytene checkpoint protein 2 homolog 	 Q3UA06 	9.18	108035	4	2	7.64	432
 Nipsnap1 	 protein NipSnap homolog 1 	 O55125 	11.68	108148.3	4	2	8.1	284
 Ube2d2a 	 ubiquitin-conjugating enzyme E2 D2 	 P62838 	14.01	108384.2	4	2	19.73	147
 Bag2 	 BAG family molecular chaperone regulator 2 	 Q91YN9 	22.21	108463.1	8	5	28.57	210
 Wdr75 	 WD repeat-containing protein 75 	 Q3U821 	28.05	108467.7	8	6	9.28	830
 Usp25 	 ubiquitin carboxyl-terminal hydrolase 25 	 P57080 	7.85	108508.4	4	4	3.13	1055
 Htra2 	" serine protease HTRA2, mitochondrial "	 Q9JIY5 	18.23	108586	5	4	12.88	458
 Zmym2 	 zinc finger MYM-type protein 2 	 Q9CU65 	24.08	108637.8	9	8	6.98	1376
 Pinx1 	 PIN2/TERF1-interacting telomerase inhibitor 1 	 Q9CZX5 	8.04	108712.6	7	3	11.14	332
 Ncapd3 	 condensin-2 complex subunit D3 	 Q6ZQK0 	24.92	109291.3	6	6	6.11	1506
 Tm9sf4 	 transmembrane 9 superfamily member 4 precursor 	 Q8BH24 	11.12	109313.2	6	4	8.86	643
 Eif4enif1 	 eukaryotic translation initiation factor 4E transporter isoform a 	 Q9EST3 	19.88	109341.7	9	4	7.22	983
 Gpx4 	" phospholipid hydroperoxide glutathione peroxidase, nuclear isoform "	 O70325 	14.32	109349.6	8	3	15.41	253
 Whsc1l1 	 histone-lysine N-methyltransferase NSD3 isoform 1 	 Q6P2L6 	19.05	109416.6	11	9	16.79	655
 Nipsnap3b 	 protein NipSnap homolog 3B 	 Q9CQE1 	19.26	109432.4	5	4	21.46	247
 Brd2 	 bromodomain-containing protein 2 	 Q7JJ13 	17.62	109471.7	6	4	6.89	798
 Pex14 	 peroxisomal membrane protein PEX14 	 Q9R0A0 	18.46	109526.1	5	3	10.37	376
 Stx4a 	 syntaxin-4 	 P70452 	15.81	109577.2	8	4	17.11	298
 Usp10 	 ubiquitin carboxyl-terminal hydrolase 10 isoform 1 	 P52479 	37.8	109579.2	9	6	13.62	793
 Ist1 	 IST1 homolog 	 Q9CX00 	27.41	109585.1	5	5	15.75	362
 Tpm3 	 tropomyosin alpha-3 chain isoform Tpm3.5cy 	 Q8C7C3 	11.69	109592.8	4	2	11.69	248
 Kmt2d 	 histone-lysine N-methyltransferase 2D 	 A0A0A0MQ73 	11.81	109692.4	9	8	1.74	5588
 Rqcd1 	 cell differentiation protein RCD1 homolog 	 Q9JKY0 	27.21	109963.2	8	4	16.39	299
 Pi4ka 	 PREDICTED: phosphatidylinositol 4-kinase alpha isoform X1 	 E9Q3L2 	14.98	110000.1	8	6	3.14	2105
 Ddx24 	 ATP-dependent RNA helicase DDX24 isoform 1 	 Q9ESV0 	36.33	110016.8	9	7	8.86	903
 Lsm8 	" LSM8 homolog, U6 small nuclear RNA associated "	 Q6ZWM4 	15.15	110017.7	5	2	27.08	96
 Arhgap30 	 rho GTPase-activating protein 30 	 Q640N3 	21.5	110142.8	9	6	6.68	1093
 Stam2 	 signal transducing adapter molecule 2 	 O88811 	11.49	110221.5	4	3	7.65	523
 Eif4ebp2 	 eukaryotic translation initiation factor 4E-binding protein 2 	 P70445 	19.97	110428.1	4	3	48.33	120
 Cdca8 	 borealin 	 Q8BHX3 	28.7	110601.8	8	4	21.45	289
 Vta1 	 vacuolar protein sorting-associated protein VTA1 homolog 	 Q9CR26 	26.23	110665.2	7	3	18.77	309
 Rad18 	 E3 ubiquitin-protein ligase RAD18 isoform 2 	 Q9QXK2 	9.55	110702.8	6	4	8.64	509
 Strn4 	 striatin-4 isoform 1 	 P58404 	19.17	110740.6	6	4	9.47	760
 Smpdl3a 	 acid sphingomyelinase-like phosphodiesterase 3a precursor 	 P70158 	25.73	110748.4	8	3	15.06	445
 Lemd2 	 LEM domain-containing protein 2 	 Q6DVA0 	16.11	110790.3	4	4	9.78	511
 Cul4a 	 PREDICTED: cullin-4A isoform X1 	 nan 	16.05	110815.4	5	3	5.28	701
 Gpd1l 	 glycerol-3-phosphate dehydrogenase 1-like protein 	 Q3ULJ0 	18.16	111050.3	8	5	18.8	351
 Mb21d1 	 cyclic GMP-AMP synthase 	 Q8C6L5 	12.24	111117.7	7	4	8.88	507
 Grcc10 	 protein C10 	 O35127 	18.01	111127	8	3	44.44	126
 Atp6v1e1 	 V-type proton ATPase subunit E 1 	 P50518 	19.87	111168.6	5	5	20.8	226
 Mycbp 	 C-Myc-binding protein 	 Q9EQS3 	23.49	111306	8	3	44.66	103
 Chaf1b 	 chromatin assembly factor 1 subunit B 	 Q9D0N7 	13.32	111330.6	8	3	8.92	572
 Mpp7 	 MAGUK p55 subfamily member 7 isoform 2 	 Q8BVD5 	7.82	111376.4	5	4	9.37	427
 Parg 	 poly(ADP-ribose) glycohydrolase 	 G3X8U8 	16.42	111472	8	6	9.57	961
 Usf1 	 upstream stimulatory factor 1 isoform 1 	 Q61069 	16.95	111576.6	5	4	15.48	310
 Zfp451 	 E3 SUMO-protein ligase ZNF451 isoform 1 	 Q8C0P7 	7.03	111625.9	5	3	3.88	1056
 Psmb3 	 proteasome subunit beta type-3 	 Q9R1P1 	36.63	111692	6	4	30.73	205
 Fam160b1 	 protein FAM160B1 	 Q8CDM8 	12.14	111770.6	6	4	7.07	764
 Rfc3 	 replication factor C subunit 3 	 Q8R323 	26.1	111799.3	8	5	14.33	356
 Nadk2 	" NAD kinase 2, mitochondrial isoform 1 "	 Q8C5H8 	32.02	111838	8	4	15.93	452
 Nt5dc2 	 PREDICTED: 5'-nucleotidase domain-containing protein 2 isoform X1 	 A0A2I3BR81 	16.16	112027	6	4	7.96	553
 Mnat1 	 CDK-activating kinase assembly factor MAT1 	 P51949 	20.33	112131.3	7	3	14.24	309
 Map2k4 	 dual specificity mitogen-activated protein kinase kinase 4 isoform 	 P47809 	17.69	112291.8	7	3	12.09	397
 Npepl1 	 probable aminopeptidase NPEPL1 	 Q6NSR8 	27.48	112326.4	7	6	18.51	524
 Setd1a 	 histone-lysine N-methyltransferase SETD1A 	 E9PYH6 	25.99	112326.9	12	10	7.34	1716
 Akap9 	 A-kinase anchor protein 9 	 Q70FJ1 	12.46	112390.9	9	7	2.22	3779
 Anks1 	 ankyrin repeat and SAM domain-containing protein 1A isoform 2 	 P59672 	33.95	112491.7	8	5	6.34	1168
 Lxn 	 latexin 	 P70202 	14.07	112673.5	6	2	12.16	222
 Wnk1 	 serine/threonine-protein kinase WNK1 isoform 1 	 P83741 	14.23	112687.7	7	6	3.37	2377
 Taf10 	 transcription initiation factor TFIID subunit 10 	 Q8K0H5 	21.03	112690.4	8	2	17.89	218
 Fam65a 	 protein FAM65A 	 Q68FE6 	24.18	112783.2	11	6	5.56	1223
 Ttc37 	 tetratricopeptide repeat protein 37 	 F8VPK0 	14.96	112947	12	6	5.05	1563
 Uhrf2 	 E3 ubiquitin-protein ligase UHRF2 	 Q7TMI3 	20.12	113017.1	5	4	7.47	803
 Tssc4 	 protein TSSC4 isoform 1 	 Q9JHE7 	35.12	113028.5	8	5	29.65	317
 Rabl6 	 rab-like protein 6 	 Q5U3K5 	20.27	113041	8	3	9.38	725
 Tmem209 	 transmembrane protein 209 isoform 1 	 Q8BRG8 	16.9	113049.9	9	5	13.55	561
 Nrde2 	 protein NRDE2 homolog isoform a 	 Q80XC6 	10.59	113061.8	8	5	5.72	1172
 Psmb6 	 proteasome subunit beta type-6 precursor 	 Q60692 	16.04	113164.2	8	4	13.87	238
 Elf2 	 ETS-related transcription factor Elf-2 isoform 4 	 Q9JHC9 	20.9	113214.3	9	6	16.51	533
 Ap2m1 	 AP-2 complex subunit mu isoform 2 	 Q3TWV4 	18.55	113215.5	6	4	11.78	433
 Rpap3 	 RNA polymerase II-associated protein 3 	 Q9D706 	29.39	113279.6	7	5	10.45	660
 Gnpnat1 	 glucosamine 6-phosphate N-acetyltransferase 	 Q9JK38 	12.96	113311.7	7	4	32.61	184
 Dynlt1f 	 dynein light chain Tctex-type 1F isoform 1 	 P51807 	23.92	113321.3	8	2	30.09	113
 Usp19 	 ubiquitin carboxyl-terminal hydrolase 19 isoform 2 	 Q3UJD6 	17.16	113396.3	11	8	7.85	1324
 Ddx58 	 probable ATP-dependent RNA helicase DDX58 	 Q6Q899 	17.69	113519.5	10	6	6.26	926
 Polr1a 	 DNA-directed RNA polymerase I subunit RPA1 	 O35134 	26.08	113694.4	7	6	4.89	1717
 Tfam 	" transcription factor A, mitochondrial precursor "	 P40630 	25.86	113703	9	6	26.75	243
 Mycbp2 	 E3 ubiquitin-protein ligase MYCBP2 	 Q7TPH6 	6.88	113832.5	7	7	1.58	4746
 Rnf220 	 E3 ubiquitin-protein ligase Rnf220 isoform 1 	 Q6PDX6 	13.8	113961	6	4	10.6	566
