UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD	
Q8R2Q4	RRF2M	" ribosome-releasing factor 2, mitochondrial isoform 1 "	Gfm2	3620	4.84	158615.9	4	4	6.16	779	
P68134	ACTS	" actin, alpha skeletal muscle "	Acta1	1854	16.28	87163.0	5	4	25.99	377	
Q62165	DAG1	 dystroglycan preproprotein 	Dag1	4042	1.91	210309.4	8	4	6.16	893	
O09012	PEX5	 peroxisomal biogenesis factor 5 isoform 1 	Pex5	1685	18.29	71636.1	5	4	10.49	639	
Q60664	LRMP	 lymphoid-restricted membrane protein isoform 1 	Lrmp	3791	3.87	245547.7	4	4	10.20	539	
Q61142	SPIN1	 spindlin-1 isoform 2 	Spin1	2539	9.94	152129.2	4	4	22.52	262	
Q9D6L8	PPIL3	 peptidyl-prolyl cis-trans isomerase-like 3 isoform 1 	Ppil3	1612	19.12	253257.0	6	4	26.71	161	
P59672	ANS1A	 ankyrin repeat and SAM domain-containing protein 1A isoform 2 	Anks1	1753	17.40	102313.0	4	4	4.79	1168	
Q61107	GBP4	 guanylate-binding protein 4 	Gbp3	2340	11.59	181896.6	5	4	9.68	620	
Q5DTW7	RESF1	 uncharacterized protein KIAA1551 	2810474O19Rik	4152	1.43	353028.3	8	4	3.94	1521	
Q80WT5	AFTIN	 aftiphilin isoform 3 	Aftph	3642	4.77	136188.1	6	4	7.41	931	
Q99K01	PDXD1	 pyridoxal-dependent decarboxylase domain-containing protein 1 	Pdxdc1	2765	8.39	125065.7	5	4	7.35	789	
P97797	SHPS1	 tyrosine-protein phosphatase non-receptor type substrate 1 isoform 	Sirpa	2162	13.08	165661.7	6	4	11.50	513	
Q61103	REQU	 zinc finger protein ubi-d4 isoform 1 	Dpf2	1344	22.84	168701.2	6	4	15.06	405	
Q9D6N5	NC2A	 dr1-associated corepressor isoform 1 	Drap1	1083	27.71	274881.4	7	4	16.51	212	
Q9CQU5	ZWINT	 ZW10 interactor 	Zwint	1221	24.77	229501.8	9	4	23.02	252	
Q8K2A7	INT10	 integrator complex subunit 10 isoform 1 	Ints10	3370	5.77	134930.1	5	4	6.66	736	
nan		 casein kinase II subunit beta isoform 1 	Csnk2b	1744	17.54	244764.4	8	4	21.61	236	
Q8BSL7	ARF2	 ADP-ribosylation factor 2 	Arf2	2347	11.56	357216.4	6	4	35.36	181	
P41241	CSK	 tyrosine-protein kinase CSK 	Csk	1853	16.29	299983.8	9	4	11.11	450	
Q6NVE8	WDR44	 WD repeat-containing protein 44 	Wdr44	3357	5.81	145907.9	6	4	6.23	915	
Q9DBL7	COASY	 bifunctional coenzyme A synthase precursor 	Coasy	1417	21.76	124841.9	4	4	10.30	563	
B2M0S2	B2M0S2	 uncharacterized protein LOC105943584 isoform 1 	Clk2-scamp3	926	31.88	167404.2	6	4	7.05	766	
Q3URD3	SLMAP	 sarcolemmal membrane-associated protein isoform 1 	Slmap	2351	11.52	132121.4	5	4	6.39	845	
Q63943	MEF2D	 myocyte-specific enhancer factor 2D isoform 1 	Mef2d	3157	6.57	58788.4	4	4	10.51	514	
O08807	PRDX4	 peroxiredoxin-4 isoform 1 precursor 	Prdx4	936	31.46	562675.2	13	4	12.73	275	
O35892	SP100	 nuclear autoantigen Sp-100 isoform 2 	Sp100	2788	8.26	145494.2	7	4	9.75	482	
Q60631	GRB2	 growth factor receptor-bound protein 2 	Grb2	1577	19.69	353914.1	11	4	20.74	217	
Q8R0X7	SGPL1	 sphingosine-1-phosphate lyase 1 	Sgpl1	2749	8.47	133422.2	4	4	10.92	568	
Q8CJG1	AGO1	 protein argonaute-1 isoform 1x 	Ago1	1860	16.22	208106.6	7	4	6.82	895	
P28474	ADHX	 alcohol dehydrogenase class-3 isoform 1 	Adh5	1026	29.08	263310.5	8	4	17.38	374	
P48962	ADT1	 ADP/ATP translocase 1 	Slc25a4	2409	10.95	233168.6	6	4	11.07	298	
P35585	AP1M1	 AP-1 complex subunit mu-1 	Ap1m1	1584	19.63	219777.4	7	4	11.82	423	
P17426	AP2A1	 AP-2 complex subunit alpha-1 isoform a 	Ap2a1	1531	20.30	169870.9	6	4	6.96	977	
Q62388	ATM	 serine-protein kinase ATM 	Atm	3913	2.89	135062.0	6	4	1.96	3066	
Q8R5L1	Q8R5L1	 complement component 1 Q subcomponent-binding protein 	C1qbp	986	30.06	813632.0	12	4	30.11	279	
P60824	CIRBP	 cold-inducible RNA-binding protein 	Cirbp	956	31.05	479809.6	14	4	33.14	172	
P21279	GNAQ	 guanine nucleotide-binding protein G(q) subunit alpha 	Gnaq	2342	11.59	117363.5	4	4	14.76	359	
P84244	H33	 histone H3.3 	H3f3a	3165	6.54	649557.2	23	4	17.65	136	
Q61425	HCDH	" hydroxyacyl-coenzyme A dehydrogenase, mitochondrial precursor "	Hadh	1454	21.18	239066.0	7	4	17.52	314	
P70349	HINT1	 histidine triad nucleotide-binding protein 1 	Hint1	1147	26.35	645335.2	16	4	38.89	126	
P30681	HMGB2	 high mobility group protein B2 	Hmgb2	795	35.10	1288290.2	20	4	13.81	210	
P52760	RIDA	 ribonuclease UK114 	Rida	2253	12.23	106315.3	4	4	34.81	135	
Q64433	CH10	" 10 kDa heat shock protein, mitochondrial "	Hspe1	1599	19.33	700984.6	15	4	46.08	102	
Q8K337	I5P2	" type II inositol 1,4,5-trisphosphate 5-phosphatase precursor "	Inpp5b	3048	6.99	119454.4	5	4	4.83	993	
O35343	IMA3	 importin subunit alpha-3 	Kpna4	681	38.94	247050.8	7	4	16.51	521	
O54782	MA2B2	 epididymis-specific alpha-mannosidase precursor 	Man2b2	1329	23.14	120245.1	6	4	5.70	1018	
P49138	MAPK2	 MAP kinase-activated protein kinase 2 	Mapkapk2	1524	20.38	196522.6	5	4	9.59	386	
O35379	MRP1	 multidrug resistance-associated protein 1 	Abcc1	3223	6.32	43410.3	5	4	4.06	1528	
P97369	NCF4	 neutrophil cytosol factor 4 	Ncf4	1882	16.01	192416.8	7	4	15.34	339	
Q61026	NCOA2	 nuclear receptor coactivator 2 isoform a 	Ncoa2	1972	14.95	156563.8	8	4	4.10	1462	
Q61205	PA1B3	 platelet-activating factor acetylhydrolase IB subunit gamma 	Pafah1b3	3265	6.14	228137.3	8	4	21.98	232	
Q08481	PECA1	 platelet endothelial cell adhesion molecule isoform 1 precursor 	Pecam1	1562	19.91	211273.7	6	4	10.06	716	
O70172	PI42A	 phosphatidylinositol 5-phosphate 4-kinase type-2 alpha 	Pip4k2a	2256	12.20	78971.2	4	4	14.07	405	
B9EJ22	B9EJ22	 mismatch repair endonuclease PMS2 	Pms2	2020	14.51	186578.4	6	4	6.64	859	
P62196	PRS8	 26S protease regulatory subunit 8 	Psmc5	1966	14.99	190518.9	5	4	11.33	406	
P22437	PGH1	 prostaglandin G/H synthase 1 precursor 	Ptgs1	3009	7.19	97323.1	4	4	7.64	602	
Q91YR1	TWF1	 twinfilin-1 	Twf1	1836	16.52	126128.3	5	4	16.57	350	
O54724	CAVN1	 polymerase I and transcript release factor 	Ptrf	2101	13.63	221618.3	6	4	14.80	392	
P54728	RD23B	 UV excision repair protein RAD23 homolog B 	Rad23b	1229	24.69	399879.9	13	4	13.94	416	
Q60973	RBBP7	 histone-binding protein RBBP7 	Rbbp7	825	34.37	437632.2	14	4	21.18	425	
P97760	RPB3	 DNA-directed RNA polymerase II subunit RPB3 	Polr2c	1938	15.35	401062.9	9	4	21.45	275	
P62754	RS6	 40S ribosomal protein S6 	Rps6	1293	23.67	387145.0	9	4	20.08	249	
P11157	RIR2	 ribonucleoside-diphosphate reductase subunit M2 	Rrm2	1360	22.58	243799.8	7	4	15.38	390	
Q99JZ4	Q99JZ4	 GTP-binding protein SAR1a 	Sar1a	2099	13.65	154317.0	6	4	27.27	198	
O35382	EXOC4	 exocyst complex component 4 	Exoc4	1553	20.07	154305.9	7	4	6.97	975	
P62996	TRA2B	 transformer-2 protein homolog beta 	Tra2b	1209	25.03	542918.5	11	4	20.83	288	
Q3UFR4	Q3UFR4	 neutral amino acid transporter B(0) 	Slc1a5	1040	28.65	119171.8	5	4	11.53	555	
P97355	SPSY	 spermine synthase 	Sms	1079	27.78	253045.9	9	4	18.85	366	
Q62311	TAF6	 transcription initiation factor TFIID subunit 6 	Taf6	1254	24.30	170215.3	8	4	9.59	678	
P70318	TIAR	 nucleolysin TIAR 	Tial1	1287	23.77	325486.1	9	4	17.60	392	
P63028	TCTP	 translationally-controlled tumor protein 	Tpt1	1119	26.75	857253.6	14	4	27.91	172	
P19253	RL13A	 60S ribosomal protein L13a 	Rpl13a	1588	19.44	490568.9	12	4	22.17	203	
P68368	TBA4A	 tubulin alpha-4A chain isoform 1 	Tuba4a	1596	19.35	720603.2	9	4	12.05	448	
P68037	UB2L3	 ubiquitin-conjugating enzyme E2 L3 	Ube2l3	669	39.42	450573.7	12	4	35.71	154	
P70460	VASP	 vasodilator-stimulated phosphoprotein isoform 1 	Vasp	1669	18.48	240262.2	5	4	15.47	375	
Q00899	TYY1	 transcriptional repressor protein YY1 	Yy1	2782	8.27	136084.9	6	4	10.39	414	
Q61490	CD166	 CD166 antigen precursor 	Alcam	1774	17.21	161367.7	6	4	7.20	583	
Q9Z1T1	AP3B1	 AP-3 complex subunit beta-1 	Ap3b1	2694	8.86	317109.7	4	4	4.71	1105	
P04627	ARAF	 serine/threonine-protein kinase A-Raf isoform 1 	Araf	2688	8.90	135792.5	5	4	7.95	604	
P23780	BGAL	 beta-galactosidase preproprotein 	Glb1	1543	20.17	182903.9	8	4	11.75	647	
P29452	CASP1	 caspase-1 	Casp1	1811	16.78	125393.0	4	4	11.44	402	
P19783	COX41	" cytochrome c oxidase subunit 4 isoform 1, mitochondrial isoform 1 "	Cox4i1	2007	14.63	263607.7	7	4	17.48	206	
P47199	QOR	 quinone oxidoreductase 	Cryz	1464	21.09	206641.9	6	4	17.82	331	
Q9Z0H8	CLIP2	 CAP-Gly domain-containing linker protein 2 isoform a 	Clip2	2129	13.38	136934.0	4	4	5.25	1047	
P56542	DNS2A	 deoxyribonuclease-2-alpha precursor 	Dnase2a	3101	6.75	116281.1	6	4	11.05	353	
P28843	DPP4	 dipeptidyl peptidase 4 isoform 1 	Dpp4	3374	5.76	965507.5	4	4	6.97	760	
Q64378	FKBP5	 peptidyl-prolyl cis-trans isomerase FKBP5 	Fkbp5	1728	17.72	184689.3	10	4	13.16	456	
P97494	GSH1	 glutamate--cysteine ligase catalytic subunit 	Gclc	1678	18.35	200594.4	7	4	8.79	637	
P27601	GNA13	 guanine nucleotide-binding protein subunit alpha-13 	Gna13	2497	10.21	148733.4	9	4	11.67	377	
P05201	AATC	" aspartate aminotransferase, cytoplasmic "	Got1	957	31.05	191091.6	6	4	16.46	413	
P21995	EMB	 embigin precursor 	Emb	1503	20.63	246504.7	9	4	13.33	330	
P47791	GSHR	" glutathione reductase, mitochondrial precursor "	Gsr	785	35.45	289038.0	7	4	15.00	500	
P29416	HEXA	 beta-hexosaminidase subunit alpha precursor 	Hexa	1994	14.72	171412.5	5	4	10.61	528	
P70372	ELAV1	 ELAV-like protein 1 	Elavl1	1116	26.81	533428.4	11	4	15.95	326	
O88939	ZBT7A	 zinc finger and BTB domain-containing protein 7A 	Zbtb7a	2275	11.99	169426.6	7	4	14.59	569	
Q9WTX8	MD1L1	 mitotic spindle assembly checkpoint protein MAD1 	Mad1l1	1536	20.24	122764.5	5	4	9.07	717	
Q60954	MEIS1	 homeobox protein Meis1 isoform A 	Meis1	2963	7.40	105132.7	6	4	11.18	465	
Q9Z1J3	NFS1	" cysteine desulfurase, mitochondrial "	Nfs1	1381	22.16	117668.2	8	4	13.51	459	
Q9Z2Q5	RM40	" 39S ribosomal protein L40, mitochondrial precursor "	Mrpl40	2023	14.45	260462.8	7	4	26.21	206	
O70378	EMC8	 ER membrane protein complex subunit 8 	Emc8	1570	19.76	204053.4	8	4	26.09	207	
Q9Z1N2	ORC1	 origin recognition complex subunit 1 	Orc1	2733	8.56	129253.1	5	4	5.71	840	
Q01063	PDE4D	" cAMP-specific 3',5'-cyclic phosphodiesterase 4D "	Pde4d	2960	7.41	157992.4	5	4	9.37	747	
Q9WTU0	PHF2	 lysine-specific demethylase PHF2 	Phf2	2769	8.34	167443.7	6	4	4.56	1096	
P28867	KPCD	 protein kinase C delta type isoform 2 	Prkcd	1663	18.54	173185.1	5	4	8.16	674	
Q61183	PAPOA	 poly(A) polymerase alpha 	Papola	2244	12.38	105076.5	4	4	8.93	739	
Q9WVF7	DPOE1	 DNA polymerase epsilon catalytic subunit A 	Pole	2228	12.53	78808.2	4	4	3.07	2283	
P31324	KAP3	 cAMP-dependent protein kinase type II-beta regulatory subunit 	Prkar2b	2267	12.07	190831.4	5	4	19.95	416	
P97313	PRKDC	 DNA-dependent protein kinase catalytic subunit 	Prkdc	3248	6.23	104727.7	5	4	1.36	4128	
O70435	PSA3	 proteasome subunit alpha type-3 isoform a 	Psma3	1917	15.51	182762.7	6	4	21.57	255	
Q9QUG9	GRP2	 RAS guanyl-releasing protein 2 	Rasgrp2	2518	10.04	173495.4	5	4	10.03	608	
Q6ZWZ6	Q6ZWZ6	 40S ribosomal protein S12 	Rps12	1413	21.77	977666.3	16	4	32.58	132	
P62082	RS7	 40S ribosomal protein S7 	Rps7	1189	25.45	454433.5	10	4	27.83	194	
Q5U5Q9	UIMC1	 BRCA1-A complex subunit RAP80 isoform 1 	Uimc1	1492	20.73	125734.6	5	4	8.94	727	
Q60749	KHDR1	" KH domain-containing, RNA-binding, signal transduction-associated "	Khdrbs1	1128	26.64	502223.9	17	4	14.45	443	
P18337	LYAM1	 L-selectin isoform 1 precursor 	Sell	3716	4.39	214524.3	7	4	13.44	372	
Q91ZM2	SH2B1	 SH2B adapter protein 1 isoform 2 	Sh2b1	3043	7.01	232165.7	5	4	7.62	682	
Q9R1Z8	VINEX	 vinexin isoform a 	Sorbs3	2130	13.38	128339.6	6	4	7.78	733	
P07759	SPA3K	 serine protease inhibitor A3K precursor 	Serpina3k	976	30.27	188040.8	8	4	16.03	418	
Q9D0T1	NH2L1	 NHP2-like protein 1 	Nhp2l1	866	33.48	524889.0	10	4	27.34	128	
Q9Z108	STAU1	 double-stranded RNA-binding protein Staufen homolog 1 isoform 3 	Stau1	973	30.32	214069.1	9	4	11.91	487	
P04202	TGFB1	 transforming growth factor beta-1 preproprotein 	Tgfb1	1722	17.75	286874.4	7	4	14.36	390	
Q9Z1M8	RED	 protein Red 	Ik	1957	15.13	117562.5	7	4	7.72	557	
Q8BG30	NELFA	 negative elongation factor A 	Nelfa	1321	23.22	198918.4	5	4	12.26	530	
F8VQ87	F8VQ87	 5'-3' exoribonuclease 1 isoform 1 	Xrn1	2973	7.36	118388.3	5	4	2.84	1723	
Q9R1P0	PSA4	 proteasome subunit alpha type-4 	Psma4	2298	11.85	183647.0	5	4	22.99	261	
P51863	VA0D1	 V-type proton ATPase subunit d 1 	Atp6v0d1	1362	22.54	141930.6	4	4	18.80	351	
P35991	BTK	 tyrosine-protein kinase BTK 	Btk	1348	22.72	262412.4	6	4	8.80	659	
O88712	CTBP1	 C-terminal-binding protein 1 isoform 3 	Ctbp1	853	33.83	239496.9	8	4	15.65	441	
P22907	HEM3	 porphobilinogen deaminase isoform 1 	Hmbs	1060	28.09	156938.3	6	4	17.73	361	
Q9Z160	COG1	 conserved oligomeric Golgi complex subunit 1 	Cog1	2899	7.72	76517.9	4	4	5.41	980	
P63005	LIS1	 platelet-activating factor acetylhydrolase IB subunit alpha 	Pafah1b1	1519	20.42	190662.8	7	4	13.41	410	
O35955	PSB10	 proteasome subunit beta type-10 precursor 	Psmb10	2123	13.46	199771.6	7	4	21.61	273	
P07309	TTHY	 transthyretin precursor 	Ttr	1191	25.45	279207.3	11	4	50.34	147	
Q9JLT4	TRXR2	" thioredoxin reductase 2, mitochondrial precursor "	Txnrd2	2459	10.50	160211.1	9	4	10.06	527	
O35864	CSN5	 COP9 signalosome complex subunit 5 isoform 1 	Cops5	2570	9.70	264378.8	11	4	11.98	334	
P12970	RL7A	 60S ribosomal protein L7a 	Rpl7a	1478	20.89	457048.6	9	4	19.92	266	
P62281	RS11	 40S ribosomal protein S11 	Rps11	2035	14.27	317577.4	10	4	17.72	158	
O88325	O88325	 alpha-N-acetylglucosaminidase precursor 	Naglu	1813	16.74	133491.9	5	4	8.80	739	
O08582	GTPB1	 GTP-binding protein 1 	Gtpbp1	821	34.42	201512.1	7	4	9.43	668	
Q8K268	ABCF3	 ATP-binding cassette sub-family F member 3 	Abcf3	2084	13.80	109515.4	6	4	9.17	709	
Q99LE6	ABCF2	 ATP-binding cassette sub-family F member 2 isoform 1 	Abcf2	1278	23.87	234508.0	7	4	7.32	628	
Q8VD12	Z385A	 zinc finger protein 385A 	Zfp385a	2377	11.27	83373.1	7	4	13.99	386	
Q3TNB8	Q3TNB8	" FYVE, RhoGEF and PH domain-containing protein 3 "	Fgd3	1383	22.14	128701.0	7	4	13.10	733	
P54729	NUB1	 NEDD8 ultimate buster 1 isoform 2 	Nub1	3180	6.48	193221.8	6	4	8.79	614	
P70698	PYRG1	 CTP synthase 1 	Ctps	1799	16.95	135483.7	4	4	7.95	591	
P70202	LXN	 latexin 	Lxn	2072	13.93	209299.2	6	4	28.38	222	
O35459	ECH1	" delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial "	Ech1	1807	16.87	190862.3	6	4	17.13	327	
Q8BH40	Q8BH40	 syntaxin-7 	Stx7	1436	21.45	236039.1	7	4	19.92	261	
P70671	IRF3	 interferon regulatory factor 3 	Irf3	1380	22.16	284611.1	10	4	12.65	419	
P61164	ACTZ	 alpha-centractin 	Actr1a	998	29.78	442359.8	11	4	17.29	376	
Q9Z1D1	EIF3G	 eukaryotic translation initiation factor 3 subunit G 	Eif3g	838	34.08	552426.7	10	4	18.75	320	
O88291	ZN326	 DBIRD complex subunit ZNF326 	Zfp326	2144	13.29	208755.0	5	4	8.28	580	
Q9ERA6	TFP11	 tuftelin-interacting protein 11 	Tfip11	1848	16.38	1945885.3	11	4	7.04	838	
Q9JHK5	PLEK	 pleckstrin 	Plek	1996	14.72	251315.5	8	4	18.86	350	
P84096	RHOG	 rho-related GTP-binding protein RhoG precursor 	Rhog	860	33.64	298924.1	13	4	25.65	191	
Q9EQS3	MYCBP	 C-Myc-binding protein 	Mycbp	1325	23.18	272486.9	12	4	46.60	103	
Q69ZS7	HBS1L	 HBS1-like protein isoform 1 	Hbs1l	1861	16.22	85351.5	4	4	11.00	682	
Q9JIY5	HTRA2	" serine protease HTRA2, mitochondrial "	Htra2	1525	20.36	198431.0	5	4	10.48	458	
Q9R0M6	RAB9A	 ras-related protein Rab-9A 	Rab9	1405	21.86	196352.7	9	4	26.87	201	
Q9WUN2	TBK1	 serine/threonine-protein kinase TBK1 	Tbk1	1178	25.68	130687.6	5	4	8.37	729	
Q8BH80	Q8BH80	 vesicle-associated membrane protein-associated protein B 	Vapb	1318	23.27	285664.6	9	4	20.16	243	
Q9QXT0	CNPY2	 protein canopy homolog 2 precursor 	Cnpy2	1500	20.66	341845.7	10	4	28.02	182	
Q9JLN9	MTOR	 serine/threonine-protein kinase mTOR 	Mtor	1892	15.86	290982.7	6	4	2.39	2549	
Q922L6	NELFD	 negative elongation factor D 	Nelfcd	1677	18.35	231763.6	7	4	9.14	591	
Q91VL8	TE2IP	 telomeric repeat-binding factor 2-interacting protein 1 	Terf2ip	1125	26.66	292281.7	12	4	16.54	393	
Q91VR2	ATPG	" ATP synthase subunit gamma, mitochondrial isoform a "	Atp5c1	1812	16.77	315366.8	8	4	15.10	298	
Q8VI84	NOC3L	 nucleolar complex protein 3 homolog 	Noc3l	1467	21.05	146145.2	5	4	5.45	807	
Q9D358	PPAC	 low molecular weight phosphotyrosine protein phosphatase isoform 2 	Acp1	1839	16.49	193727.9	7	4	25.32	158	
Q91WG4	ELP2	 elongator complex protein 2 	Elp2	2715	8.72	62635.3	6	4	5.78	831	
P53994	RAB2A	 ras-related protein Rab-2A 	Rab2a	2065	14.01	251145.8	7	4	23.11	212	
Q3UKJ7	SMU1	 WD40 repeat-containing protein SMU1 	Smu1	1133	26.54	280805.4	9	4	14.04	513	
Q9CQI3	GMFB	 glia maturation factor beta 	Gmfb	1324	23.18	291647.0	10	4	40.84	142	
Q08024	PEBB	 core-binding factor subunit beta isoform 1 	Cbfb	1870	16.15	232804.6	6	4	28.88	187	
Q9ER88	RT29	" 28S ribosomal protein S29, mitochondrial isoform 2 "	Dap3	3149	6.61	126084.3	4	4	15.91	396	
Q9JI13	SAS10	 something about silencing protein 10 	Utp3	1187	25.48	192282.1	5	4	12.15	469	
Q9DCM0	ETHE1	" persulfide dioxygenase ETHE1, mitochondrial precursor "	Ethe1	1246	24.47	191089.5	6	4	27.17	254	
Q9JI44	DMAP1	 DNA methyltransferase 1-associated protein 1 	Dmap1	1795	17.01	202245.2	5	4	11.32	468	
Q9QY93	DCTP1	 dCTP pyrophosphatase 1 	Dctpp1	1827	16.65	109451.6	7	4	27.65	170	
Q9ERB0	SNP29	 synaptosomal-associated protein 29 	Snap29	2206	12.72	266314.1	6	4	19.23	260	
Q9CQA3	SDHB	 succinate dehydrogenase 	Sdhb	2061	14.05	352411.6	9	4	16.31	282	
P57725	SAMN1	 SAM domain-containing protein SAMSN-1 	Samsn1	1289	23.71	228771.3	6	4	18.82	372	
Q9D967	MGDP1	 magnesium-dependent phosphatase 1 	Mdp1	1450	21.24	256094.8	9	4	38.41	164	
Q3THE2	ML12B	 myosin regulatory light chain 12B 	Myl12b	1015	29.47	610109.9	11	4	30.23	172	
Q9JHU9	INO1	 inositol-3-phosphate synthase 1 	Isyna1	1937	15.37	138089.8	5	4	8.44	557	
Q9JJF3	RIOX1	 bifunctional lysine-specific demethylase and histidyl-hydroxylase 	2410016O06Rik	2473	10.40	114411.9	4	4	8.62	603	
Q99MR8	MCCA	" methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial "	Mccc1	1255	24.28	174040.0	4	4	7.95	717	
Q9JJ89	CCD86	 coiled-coil domain-containing protein 86 	Ccdc86	2649	9.22	160014.2	4	4	13.15	426	
Q9ER73	ELP4	 elongator complex protein 4 	Elp4	2326	11.68	105819.2	5	4	10.90	422	
Q8VE22	RT23	" 28S ribosomal protein S23, mitochondrial isoform a "	Mrps23	1794	17.02	163304.4	4	4	25.42	177	
Q9D385	AR2BP	 ADP-ribosylation factor-like protein 2-binding protein isoform 1 	Arl2bp	1190	25.45	112605.3	4	4	31.90	163	
Q99LC2	CSTF1	 cleavage stimulation factor subunit 1 	Cstf1	1816	16.72	152708.7	6	4	12.99	431	
Q9D8M7	PHF10	 PHD finger protein 10 	Phf10	1760	17.34	125376.5	4	4	11.07	497	
Q2TPA8	HSDL2	 hydroxysteroid dehydrogenase-like protein 2 isoform 1 	Hsdl2	1992	14.73	246526.8	7	4	9.59	490	
Q99PL6	UBXN6	 UBX domain-containing protein 6 	Ubxn6	3318	5.99	214303.8	5	4	14.25	442	
Q9CQ65	MTAP	 S-methyl-5'-thioadenosine phosphorylase 	Mtap	937	31.43	175394.5	8	4	16.96	283	
P35278	RAB5C	 ras-related protein Rab-5C isoform 1 	Rab5c	1346	22.77	268989.5	7	4	25.93	216	
Q8BJU0	SGTA	 small glutamine-rich tetratricopeptide repeat-containing protein 	Sgta	1213	24.95	191272.8	8	4	16.83	315	
Q9DCS3	MECR	" trans-2-enoyl-CoA reductase, mitochondrial precursor "	Mecr	1163	26.03	113035.3	6	4	18.23	373	
Q8CG76	ARK72	 aflatoxin B1 aldehyde reductase member 2 	Akr7a5	783	35.61	269736.0	7	4	12.53	367	
Q9DCC4	P5CR3	 pyrroline-5-carboxylate reductase 3 	Pycrl	1169	25.87	192644.7	6	4	16.79	274	
Q9CXW2	RT22	" 28S ribosomal protein S22, mitochondrial "	Mrps22	3316	5.99	201310.0	6	4	15.60	359	
Q9D1E6	TBCB	 tubulin-folding cofactor B 	Tbcb	4185	1.34	161158.0	5	4	22.54	244	
Q99JI4	PSMD6	 26S proteasome non-ATPase regulatory subunit 6 	Psmd6	2560	9.79	166633.8	6	4	10.80	389	
Q9CQX2	CYB5B	 cytochrome b5 type B precursor 	Cyb5b	988	30.03	360244.3	9	4	41.78	146	
Q9D0B0	SRSF9	 serine/arginine-rich splicing factor 9 	Srsf9	1835	16.55	162161.3	5	4	21.17	222	
Q9CZT6	CMS1	 protein CMSS1 	Cmss1	2132	13.37	155310.2	6	4	19.20	276	
Q6PE01	SNR40	 U5 small nuclear ribonucleoprotein 40 kDa protein 	Snrnp40	2100	13.64	155671.9	6	4	18.16	358	
Q8C0C7	SYFA	 phenylalanine--tRNA ligase alpha subunit 	Farsa	1071	27.93	173162.4	4	4	11.81	508	
Q91VH2	SNX9	 sorting nexin-9 	Snx9	1181	25.61	107602.5	4	4	10.59	595	
Q924W5	SMC6	 structural maintenance of chromosomes protein 6 isoform 1 	Smc6	1742	17.55	67382.3	4	4	4.19	1097	
Q9CXF4	TBC15	 TBC1 domain family member 15 	Tbc1d15	1703	18.00	147629.1	5	4	7.90	671	
Q9CRD2	EMC2	 ER membrane protein complex subunit 2 	Emc2	2612	9.40	204768.4	5	4	12.12	297	
Q921G7	ETFD	 electron transfer flavoprotein-ubiquinone oxidoreductase 	Etfdh	1432	21.50	164773.3	5	4	7.95	616	
P56395	CYB5	 cytochrome b5 	Cyb5a	989	30.01	282466.6	6	4	41.04	134	
P63154	CRNL1	 crooked neck-like protein 1 	Crnkl1	1833	16.59	220396.3	5	4	7.39	690	
Q924M7	MPI	 mannose-6-phosphate isomerase 	Mpi	898	32.83	105669.4	6	4	15.13	423	
Q91VK1	BZW2	 basic leucine zipper and W2 domain-containing protein 2 	Bzw2	1857	16.24	224877.2	6	4	11.69	419	
Q9CQB5	CISD2	 CDGSH iron-sulfur domain-containing protein 2 	Cisd2	1485	20.83	107289.9	5	4	37.04	135	
Q9CXW4	RL11	 60S ribosomal protein L11 	Rpl11	1277	23.87	307815.5	8	4	24.72	178	
Q9D892	ITPA	 inosine triphosphate pyrophosphatase 	Itpa	1192	25.44	399994.4	15	4	33.84	198	
Q8K2F8	LS14A	 protein LSM14 homolog A 	Lsm14a	1886	15.99	248286.6	8	4	8.66	462	
P63325	RS10	 40S ribosomal protein S10 	Rps10	1458	21.16	501956.5	12	4	23.64	165	
Q9CY50	SSRA	 translocon-associated protein subunit alpha precursor 	Ssr1	1265	24.13	494182.0	14	4	19.93	286	
Q8C845	Q8C845	 EF-hand domain-containing protein D2 	Efhd2	1096	27.43	274899.8	7	4	21.67	240	
P99027	RLA2	 60S acidic ribosomal protein P2 	Rplp2	561	43.31	1821531.1	32	4	69.56	115	
Q3TKY6	CWC27	 peptidyl-prolyl cis-trans isomerase CWC27 homolog 	Cwc27	1236	24.60	128523.1	4	4	14.07	469	
Q6ZWX6	IF2A	 eukaryotic translation initiation factor 2 subunit 1 	Eif2s1	1752	17.42	303383.0	8	4	15.56	315	
Q8BY71	HAT1	 histone acetyltransferase type B catalytic subunit 	Hat1	1697	18.05	130667.8	4	4	14.18	416	
Q8CI61	BAG4	 BAG family molecular chaperone regulator 4 	Bag4	1144	26.36	157663.4	4	4	12.47	457	
Q9DC16	ERGI1	 endoplasmic reticulum-Golgi intermediate compartment protein 1 	Ergic1	1768	17.25	144976.1	6	4	19.31	290	
Q9CQ62	DECR	" 2,4-dienoyl-CoA reductase, mitochondrial precursor "	Decr1	1152	26.26	351377.3	10	4	18.51	335	
Q9D0M1	KPRA	 phosphoribosyl pyrophosphate synthase-associated protein 1 	Prpsap1	1092	27.50	231942.8	5	4	16.62	385	
